data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-05-22T19:13:29,Abruzzo,459431,224691,684122,746770,91.61,3518.47,1720.75,5719.0,2021-05-23T03:02:02
2021-05-22T19:13:29,Basilicata,198345,94237,292582,319725,91.51,3561.37,1692.07,5740.81,2021-05-23T03:02:02
2021-05-22T19:13:29,Calabria,620167,274625,894792,1002850,89.22,3222.15,1426.85,5210.42,2021-05-23T03:02:02
2021-05-22T19:13:29,Campania,2018137,811667,2829804,3061485,92.43,3488.05,1402.85,5291.32,2021-05-23T03:02:02
2021-05-22T19:13:29,Emilia-Romagna,1532243,757763,2290006,2514850,91.06,3430.05,1696.31,5629.69,2021-05-23T03:02:02
2021-05-22T19:13:29,Friuli-Venezia Giulia,431616,193974,625590,722155,86.63,3563.08,1601.3,5961.54,2021-05-23T03:02:02
2021-05-22T19:13:29,Lazio,2030469,893717,2924186,3270920,89.4,3461.69,1523.67,5576.5,2021-05-23T03:02:02
2021-05-22T19:13:29,Liguria,554803,298272,853075,906970,94.06,3595.32,1932.91,5877.48,2021-05-23T03:02:02
2021-05-22T19:13:29,Lombardia,3598842,1648950,5247792,5560650,94.37,3561.81,1631.98,5503.43,2021-05-23T03:02:02
2021-05-22T19:13:29,Marche,524677,273261,797938,842210,94.74,3455.46,1799.66,5546.69,2021-05-23T03:02:02
2021-05-22T19:13:29,Molise,117411,51314,168725,179805,93.84,3884.37,1697.65,5948.59,2021-05-23T03:02:02
2021-05-22T19:13:29,P.A. Bolzano,197340,80777,278117,313445,88.73,3788.51,1550.75,6017.48,2021-05-23T03:02:02
2021-05-22T19:13:29,P.A. Trento,206812,58291,265103,289670,91.52,3814.21,1075.06,5342.36,2021-05-23T03:02:02
2021-05-22T19:13:29,Piemonte,1475075,766263,2241338,2444360,91.69,3397.71,1765.02,5630.38,2021-05-23T03:02:02
2021-05-22T19:13:29,Puglia,1423426,635142,2058568,2180555,94.41,3551.2,1584.57,5440.1,2021-05-23T03:02:02
2021-05-22T19:13:29,Sardegna,552486,221323,773809,918870,84.21,3388.5,1357.42,5635.6,2021-05-23T03:02:02
2021-05-22T19:13:29,Sicilia,1481376,715855,2197231,2456502,89.45,2981.59,1440.81,4944.24,2021-05-23T03:02:02
2021-05-22T19:13:29,Toscana,1223893,629277,1853170,2025810,91.48,3287.62,1690.36,5441.73,2021-05-23T03:02:02
2021-05-22T19:13:29,Umbria,304146,150735,454881,489365,92.95,3455.09,1712.34,5559.17,2021-05-23T03:02:02
2021-05-22T19:13:29,Valle d'Aosta,43190,21731,64921,72640,89.37,3441.41,1731.54,5788.0,2021-05-23T03:02:02
2021-05-22T19:13:29,Veneto,1745333,763827,2509160,2655860,94.48,3556.31,1556.38,5411.61,2021-05-23T03:02:02
2021-05-22T19:13:29,Italia,20739218,9565692,30304910,32975467,91.9,3443.17,1588.12,5474.66,2021-05-23T03:02:02
