data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-05-14T15:13:35,Abruzzo,400428,186040,586468,650510,90.16,3066.6,1424.75,4981.81,2021-05-14T18:44:02
2021-05-14T15:13:35,Basilicata,173968,72361,246329,291805,84.42,3123.67,1299.27,5239.49,2021-05-14T18:44:02
2021-05-14T15:13:35,Calabria,511181,224558,735739,895200,82.19,2655.9,1166.72,4651.11,2021-05-14T18:44:02
2021-05-14T15:13:35,Campania,1708665,643603,2352268,2659235,88.46,2953.17,1112.37,4596.09,2021-05-14T18:44:02
2021-05-14T15:13:35,Emilia-Romagna,1391135,670975,2062110,2288750,90.1,3114.17,1502.03,5123.55,2021-05-14T18:44:02
2021-05-14T15:13:35,Friuli-Venezia Giulia,361438,172946,534384,642855,83.13,2983.74,1427.7,5306.9,2021-05-14T18:44:02
2021-05-14T15:13:35,Lazio,1723528,791020,2514548,2940370,85.52,2938.39,1348.59,5012.95,2021-05-14T18:44:02
2021-05-14T15:13:35,Liguria,491954,273157,765111,826620,92.56,3188.03,1770.15,5356.79,2021-05-14T18:44:02
2021-05-14T15:13:35,Lombardia,3295259,1238522,4533781,4933930,91.89,3261.35,1225.78,4883.16,2021-05-14T18:44:02
2021-05-14T15:13:35,Marche,461642,233807,695449,765530,90.85,3040.32,1539.82,5041.69,2021-05-14T18:44:02
2021-05-14T15:13:35,Molise,100150,48014,148164,162225,91.33,3313.32,1588.47,5366.98,2021-05-14T18:44:02
2021-05-14T15:13:35,P.A. Bolzano,169098,69483,238581,282195,84.54,3246.32,1333.93,5417.54,2021-05-14T18:44:02
2021-05-14T15:13:35,P.A. Trento,184371,48896,233267,261900,89.07,3400.34,901.78,4830.2,2021-05-14T18:44:02
2021-05-14T15:13:35,Piemonte,1314461,639656,1954117,2223470,87.89,3027.75,1473.39,5121.58,2021-05-14T18:44:02
2021-05-14T15:13:35,Puglia,1241724,531785,1773509,1955525,90.69,3097.88,1326.71,4878.69,2021-05-14T18:44:02
2021-05-14T15:13:35,Sardegna,455112,186946,642058,808440,79.42,2791.29,1146.57,4958.31,2021-05-14T18:44:02
2021-05-14T15:13:35,Sicilia,1254671,588398,1843069,2260075,81.55,2525.3,1184.28,4548.89,2021-05-14T18:44:02
2021-05-14T15:13:35,Toscana,1054086,558602,1612688,1839340,87.68,2831.49,1500.52,4940.84,2021-05-14T18:44:02
2021-05-14T15:13:35,Umbria,268585,125031,393616,435765,90.33,3051.11,1420.35,4950.27,2021-05-14T18:44:02
2021-05-14T15:13:35,Valle d'Aosta,39907,17675,57582,65960,87.3,3179.82,1408.36,5255.74,2021-05-14T18:44:02
2021-05-14T15:13:35,Veneto,1584573,634515,2219088,2393360,92.72,3228.75,1292.9,4876.74,2021-05-14T18:44:02
2021-05-14T15:13:35,Italia,18185936,7955990,26141926,29583060,88.37,3019.27,1320.87,4911.44,2021-05-14T18:44:02
