data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-02-07T14:01:14,Abruzzo,22314,17530,39844,47100,84.59,170.89,134.25,360.71,2021-02-07T17:34:01
2021-02-07T14:01:14,Basilicata,11718,9301,21019,27225,77.2,210.4,167.0,488.84,2021-02-07T17:34:01
2021-02-07T14:01:14,Calabria,35235,23187,58422,79990,73.04,183.07,120.47,415.6,2021-02-07T17:34:01
2021-02-07T14:01:14,Campania,116785,100603,217388,227965,95.36,201.85,173.88,394.0,2021-02-07T17:34:01
2021-02-07T14:01:14,Emilia-Romagna,140508,115187,255695,276135,92.6,314.54,257.86,618.15,2021-02-07T17:34:01
2021-02-07T14:01:14,Friuli-Venezia Giulia,36258,28910,65168,76055,85.69,299.32,238.66,627.85,2021-02-07T17:34:01
2021-02-07T14:01:14,Lazio,127011,101286,228297,275280,82.93,216.54,172.68,469.32,2021-02-07T17:34:01
2021-02-07T14:01:14,Liguria,38018,27332,65350,95620,68.34,246.37,177.12,619.65,2021-02-07T17:34:01
2021-02-07T14:01:14,Lombardia,240187,185008,425195,474870,89.54,237.72,183.1,469.98,2021-02-07T17:34:01
2021-02-07T14:01:14,Marche,29993,24682,54675,57610,94.91,197.53,162.55,379.41,2021-02-07T17:34:01
2021-02-07T14:01:14,Molise,7443,6102,13545,16145,83.9,246.24,201.88,534.13,2021-02-07T17:34:01
2021-02-07T14:01:14,P.A. Bolzano,22821,11334,34155,41305,82.69,438.11,217.59,792.97,2021-02-07T17:34:01
2021-02-07T14:01:14,P.A. Trento,15495,9296,24791,30340,81.71,285.77,171.45,559.56,2021-02-07T17:34:01
2021-02-07T14:01:14,Piemonte,139738,100686,240424,252580,95.19,321.87,231.92,581.8,2021-02-07T17:34:01
2021-02-07T14:01:14,Puglia,79381,57861,137242,150275,91.33,198.04,144.35,374.91,2021-02-07T17:34:01
2021-02-07T14:01:14,Sardegna,29540,22915,52455,64380,81.48,181.17,140.54,394.85,2021-02-07T17:34:01
2021-02-07T14:01:14,Sicilia,107771,92571,200342,241615,82.92,216.91,186.32,486.3,2021-02-07T17:34:01
2021-02-07T14:01:14,Toscana,82745,67745,150490,169530,88.77,222.27,181.98,455.39,2021-02-07T17:34:01
2021-02-07T14:01:14,Umbria,15216,12819,28035,30555,91.75,172.85,145.62,347.1,2021-02-07T17:34:01
2021-02-07T14:01:14,Valle d'Aosta,4603,3292,7895,7730,102.13,366.77,262.31,615.93,2021-02-07T17:34:01
2021-02-07T14:01:14,Veneto,117493,97375,214868,248270,86.55,239.41,198.41,505.88,2021-02-07T17:34:01
2021-02-07T14:01:14,Italia,1420273,1115022,2535295,2890575,87.71,235.8,185.12,479.9,2021-02-07T17:34:01
