data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-05-08T15:27:19,Abruzzo,366829,160301,527130,598350,88.1,2809.29,1227.64,4582.35,2021-05-08T18:34:01
2021-05-08T15:27:19,Basilicata,157647,61445,219092,258085,84.89,2830.62,1103.27,4634.03,2021-05-08T18:34:01
2021-05-08T15:27:19,Calabria,456000,196142,652142,807950,80.72,2369.2,1019.08,4197.79,2021-05-08T18:34:01
2021-05-08T15:27:19,Campania,1499248,562003,2061251,2383725,86.47,2591.23,971.34,4119.91,2021-05-08T18:34:01
2021-05-08T15:27:19,Emilia-Romagna,1240375,622355,1862730,2108110,88.36,2776.68,1393.19,4719.17,2021-05-08T18:34:01
2021-05-08T15:27:19,Friuli-Venezia Giulia,320583,158699,479282,571635,83.84,2646.48,1310.09,4718.96,2021-05-08T18:34:01
2021-05-08T15:27:19,Lazio,1541228,699827,2241055,2654920,84.41,2627.6,1193.12,4526.3,2021-05-08T18:34:01
2021-05-08T15:27:19,Liguria,456842,242947,699789,763700,91.63,2960.5,1574.38,4949.04,2021-05-08T18:34:01
2021-05-08T15:27:19,Lombardia,2932305,1097480,4029785,4483010,89.89,2902.13,1086.19,4436.88,2021-05-08T18:34:01
2021-05-08T15:27:19,Marche,433393,201931,635324,703980,90.25,2854.27,1329.89,4636.33,2021-05-08T18:34:01
2021-05-08T15:27:19,Molise,85912,45316,131228,149895,87.55,2842.27,1499.21,4959.06,2021-05-08T18:34:01
2021-05-08T15:27:19,P.A. Bolzano,155485,62479,217964,261545,83.34,2984.98,1199.46,5021.11,2021-05-08T18:34:01
2021-05-08T15:27:19,P.A. Trento,168679,44446,213125,239980,88.81,3110.93,819.71,4425.93,2021-05-08T18:34:01
2021-05-08T15:27:19,Piemonte,1213925,557848,1771773,2046940,86.56,2796.18,1284.96,4714.96,2021-05-08T18:34:01
2021-05-08T15:27:19,Puglia,1120012,428226,1548238,1724655,89.77,2794.23,1068.35,4302.71,2021-05-08T18:34:01
2021-05-08T15:27:19,Sardegna,410861,171986,582847,718440,81.13,2519.89,1054.82,4406.33,2021-05-08T18:34:01
2021-05-08T15:27:19,Sicilia,1126876,514375,1641251,2096785,78.27,2268.08,1035.29,4220.23,2021-05-08T18:34:01
2021-05-08T15:27:19,Toscana,972822,465730,1438552,1693220,84.96,2613.2,1251.04,4548.33,2021-05-08T18:34:01
2021-05-08T15:27:19,Umbria,243107,112789,355896,400245,88.92,2761.69,1281.28,4546.77,2021-05-08T18:34:01
2021-05-08T15:27:19,Valle d'Aosta,36942,15304,52246,59410,87.94,2943.56,1219.43,4733.83,2021-05-08T18:34:01
2021-05-08T15:27:19,Veneto,1408459,580243,1988702,2192070,90.72,2869.89,1182.31,4466.59,2021-05-08T18:34:01
2021-05-08T15:27:19,Italia,16347530,7001872,23349402,26916650,86.75,2714.05,1162.47,4468.76,2021-05-08T18:34:01
