data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-03-02T18:13:29,Abruzzo,64832,23356,88188,129950,67.86,496.5,178.87,995.2,2021-03-02T23:30:02
2021-03-02T18:13:29,Basilicata,32684,11812,44496,62275,71.45,586.86,212.09,1118.18,2021-03-02T23:30:02
2021-03-02T18:13:29,Calabria,67177,37696,104873,193580,54.18,349.03,195.85,1005.77,2021-03-02T23:30:02
2021-03-02T18:13:29,Campania,292473,122020,414493,534515,77.55,505.5,210.89,923.83,2021-03-02T23:30:02
2021-03-02T18:13:29,Emilia-Romagna,255087,140824,395911,559350,70.78,571.03,315.25,1252.15,2021-03-02T23:30:02
2021-03-02T18:13:29,Friuli-Venezia Giulia,80278,36509,116787,155205,75.25,662.71,301.39,1281.25,2021-03-02T23:30:02
2021-03-02T18:13:29,Lazio,320810,130839,451649,630650,71.62,546.94,223.06,1075.18,2021-03-02T23:30:02
2021-03-02T18:13:29,Liguria,83428,39090,122518,202780,60.42,540.64,253.32,1314.08,2021-03-02T23:30:02
2021-03-02T18:13:29,Lombardia,463027,245769,708796,1077630,65.77,458.26,243.24,1066.54,2021-03-02T23:30:02
2021-03-02T18:13:29,Marche,75698,30367,106065,156920,67.59,498.54,199.99,1033.46,2021-03-02T23:30:02
2021-03-02T18:13:29,Molise,15622,7581,23203,35405,65.54,516.83,250.81,1171.32,2021-03-02T23:30:02
2021-03-02T18:13:29,P.A. Bolzano,37786,22288,60074,71915,83.53,725.41,427.88,1380.62,2021-03-02T23:30:02
2021-03-02T18:13:29,P.A. Trento,29276,15682,44958,61850,72.69,539.93,289.22,1140.69,2021-03-02T23:30:02
2021-03-02T18:13:29,Piemonte,267603,139319,406922,533050,76.34,616.4,320.91,1227.84,2021-03-02T23:30:02
2021-03-02T18:13:29,Puglia,199527,78393,277920,388225,71.59,497.79,195.58,968.55,2021-03-02T23:30:02
2021-03-02T18:13:29,Sardegna,62088,30032,92120,165380,55.7,380.8,184.19,1014.31,2021-03-02T23:30:02
2021-03-02T18:13:29,Sicilia,240643,111984,352627,526225,67.01,484.35,225.39,1059.14,2021-03-02T23:30:02
2021-03-02T18:13:29,Toscana,223668,86436,310104,412040,75.26,600.82,232.18,1106.82,2021-03-02T23:30:02
2021-03-02T18:13:29,Umbria,35945,14969,50914,87035,58.5,408.33,170.05,988.71,2021-03-02T23:30:02
2021-03-02T18:13:29,Valle d'Aosta,8368,4686,13054,15140,86.22,666.77,373.38,1206.36,2021-03-02T23:30:02
2021-03-02T18:13:29,Veneto,237196,118008,355204,543140,65.4,483.31,240.45,1106.71,2021-03-02T23:30:02
2021-03-02T18:13:29,Italia,3093216,1447660,4540876,6542260,69.41,513.54,240.34,1086.16,2021-03-02T23:30:02
