data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-02-20T07:00:38,Abruzzo,36871,20291,57162,86670,65.95,282.37,155.39,663.75,2021-02-20T15:10:02
2021-02-20T07:00:38,Basilicata,18121,10763,28884,45225,63.87,325.37,193.25,812.04,2021-02-20T15:10:02
2021-02-20T07:00:38,Calabria,47250,32644,79894,136290,58.62,245.49,169.61,708.11,2021-02-20T15:10:02
2021-02-20T07:00:38,Campania,188636,105842,294478,379755,77.54,326.03,182.93,656.35,2021-02-20T15:10:02
2021-02-20T07:00:38,Emilia-Romagna,186634,129932,316566,417900,75.75,417.8,290.86,935.5,2021-02-20T15:10:02
2021-02-20T07:00:38,Friuli-Venezia Giulia,54079,34218,88297,116965,75.49,446.43,282.48,965.57,2021-02-20T15:10:02
2021-02-20T07:00:38,Lazio,206974,116851,323825,444780,72.81,352.86,199.22,758.29,2021-02-20T15:10:02
2021-02-20T07:00:38,Liguria,53431,34767,88198,147950,59.61,346.25,225.3,958.77,2021-02-20T15:10:02
2021-02-20T07:00:38,Lombardia,333217,234150,567367,773800,73.32,329.79,231.74,765.84,2021-02-20T15:10:02
2021-02-20T07:00:38,Marche,44138,28734,72872,107000,68.1,290.69,189.24,704.69,2021-02-20T15:10:02
2021-02-20T07:00:38,Molise,9407,6613,16020,25595,62.59,311.22,218.78,846.77,2021-02-20T15:10:02
2021-02-20T07:00:38,P.A. Bolzano,27879,22107,49986,56165,89.0,535.22,424.41,1078.25,2021-02-20T15:10:02
2021-02-20T07:00:38,P.A. Trento,22052,12712,34764,46770,74.33,406.7,234.45,862.57,2021-02-20T15:10:02
2021-02-20T07:00:38,Piemonte,167603,133145,300748,392470,76.63,386.06,306.69,904.02,2021-02-20T15:10:02
2021-02-20T07:00:38,Puglia,111375,70845,182220,267415,68.14,277.86,176.75,667.15,2021-02-20T15:10:02
2021-02-20T07:00:38,Sardegna,44597,25868,70465,113700,61.97,273.52,158.65,697.34,2021-02-20T15:10:02
2021-02-20T07:00:38,Sicilia,153467,102679,256146,380925,67.24,308.89,206.66,766.69,2021-02-20T15:10:02
2021-02-20T07:00:38,Toscana,163031,74736,237767,288680,82.36,437.93,200.76,775.45,2021-02-20T15:10:02
2021-02-20T07:00:38,Umbria,23110,14529,37639,58405,64.44,262.53,165.05,663.48,2021-02-20T15:10:02
2021-02-20T07:00:38,Valle d'Aosta,6843,4109,10952,11470,95.48,545.25,327.41,913.94,2021-02-20T15:10:02
2021-02-20T07:00:38,Veneto,165178,108519,273697,394530,69.37,336.57,221.12,803.9,2021-02-20T15:10:02
2021-02-20T07:00:38,Italia,2063893,1324054,3387947,4692460,72.2,342.65,219.82,779.05,2021-02-20T15:10:02
