data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-02-22T07:00:52,Abruzzo,42331,20368,62699,86670,72.34,324.18,155.98,663.75,2021-02-22T13:08:02
2021-02-22T07:00:52,Basilicata,19015,10881,29896,45225,66.11,341.42,195.37,812.04,2021-02-22T13:08:02
2021-02-22T07:00:52,Calabria,48644,33036,81680,136290,59.93,252.74,171.64,708.11,2021-02-22T13:08:02
2021-02-22T07:00:52,Campania,206147,106562,312709,379755,82.34,356.29,184.18,656.35,2021-02-22T13:08:02
2021-02-22T07:00:52,Emilia-Romagna,195653,130604,326257,417900,78.07,437.98,292.37,935.5,2021-02-22T13:08:02
2021-02-22T07:00:52,Friuli-Venezia Giulia,56292,34734,91026,116965,77.82,464.7,286.74,965.57,2021-02-22T13:08:02
2021-02-22T07:00:52,Lazio,221904,117543,339447,444780,76.32,378.32,200.4,758.29,2021-02-22T13:08:02
2021-02-22T07:00:52,Liguria,55324,34791,90115,147950,60.91,358.52,225.46,958.77,2021-02-22T13:08:02
2021-02-22T07:00:52,Lombardia,347930,234514,582444,773800,75.27,344.35,232.1,765.84,2021-02-22T13:08:02
2021-02-22T07:00:52,Marche,48525,28846,77371,107000,72.31,319.58,189.98,704.69,2021-02-22T13:08:02
2021-02-22T07:00:52,Molise,10142,6633,16775,25595,65.54,335.53,219.44,846.77,2021-02-22T13:08:02
2021-02-22T07:00:52,P.A. Bolzano,29363,22125,51488,56165,91.67,563.71,424.75,1078.25,2021-02-22T13:08:02
2021-02-22T07:00:52,P.A. Trento,22261,13113,35374,46770,75.63,410.56,241.84,862.57,2021-02-22T13:08:02
2021-02-22T07:00:52,Piemonte,172269,133378,305647,392470,77.88,396.81,307.23,904.02,2021-02-22T13:08:02
2021-02-22T07:00:52,Puglia,115471,71340,186811,267415,69.86,288.08,177.98,667.15,2021-02-22T13:08:02
2021-02-22T07:00:52,Sardegna,47882,26231,74113,113700,65.18,293.67,160.88,697.34,2021-02-22T13:08:02
2021-02-22T07:00:52,Sicilia,162643,102911,265554,380925,69.71,327.35,207.13,766.69,2021-02-22T13:08:02
2021-02-22T07:00:52,Toscana,172091,75420,247511,288680,85.74,462.27,202.59,775.45,2021-02-22T13:08:02
2021-02-22T07:00:52,Umbria,23362,14547,37909,58405,64.91,265.39,165.25,663.48,2021-02-22T13:08:02
2021-02-22T07:00:52,Valle d'Aosta,7082,4147,11229,11470,97.9,564.3,330.44,913.94,2021-02-22T13:08:02
2021-02-22T07:00:52,Veneto,168968,108744,277712,394530,70.39,344.29,221.58,803.9,2021-02-22T13:08:02
2021-02-22T07:00:52,Italia,2173299,1330468,3503767,4692460,74.67,360.82,220.89,779.05,2021-02-22T13:08:02
