data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-03-19T18:31:26,Abruzzo,121216,42750,163966,202400,81.01,928.31,327.39,1550.04,2021-03-19T21:06:01
2021-03-19T18:31:26,Basilicata,45212,27403,72615,91635,79.24,811.8,492.03,1645.35,2021-03-19T21:06:01
2021-03-19T18:31:26,Calabria,134304,55939,190243,285460,66.64,697.79,290.64,1483.14,2021-03-19T21:06:01
2021-03-19T18:31:26,Campania,427219,214613,641832,771295,83.21,738.38,370.93,1333.07,2021-03-19T21:06:01
2021-03-19T18:31:26,Emilia-Romagna,423836,223645,647481,797340,81.21,948.79,500.65,1784.91,2021-03-19T21:06:01
2021-03-19T18:31:26,Friuli-Venezia Giulia,112003,61562,173565,221275,78.44,924.61,508.21,1826.67,2021-03-19T21:06:01
2021-03-19T18:31:26,Lazio,536370,224339,760709,947410,80.29,914.44,382.47,1615.21,2021-03-19T21:06:01
2021-03-19T18:31:26,Liguria,138096,69283,207379,300920,68.91,894.91,448.98,1950.07,2021-03-19T21:06:01
2021-03-19T18:31:26,Lombardia,788647,379607,1168254,1572370,74.3,780.53,375.7,1556.19,2021-03-19T21:06:01
2021-03-19T18:31:26,Marche,132541,60848,193389,242030,79.9,872.9,400.74,1593.98,2021-03-19T21:06:01
2021-03-19T18:31:26,Molise,29443,12233,41676,52975,78.67,974.08,404.71,1752.6,2021-03-19T21:06:01
2021-03-19T18:31:26,P.A. Bolzano,56894,28095,84989,97065,87.56,1092.24,539.36,1863.44,2021-03-19T21:06:01
2021-03-19T18:31:26,P.A. Trento,46623,25389,72012,87600,82.21,859.86,468.25,1615.6,2021-03-19T21:06:01
2021-03-19T18:31:26,Piemonte,425443,200669,626112,766330,81.7,979.97,462.22,1765.18,2021-03-19T21:06:01
2021-03-19T18:31:26,Puglia,355539,130782,486321,581545,83.63,887.01,326.28,1450.85,2021-03-19T21:06:01
2021-03-19T18:31:26,Sardegna,113650,48641,162291,246870,65.74,697.04,298.32,1514.1,2021-03-19T21:06:01
2021-03-19T18:31:26,Sicilia,398839,175849,574688,754025,76.22,802.75,353.93,1517.64,2021-03-19T21:06:01
2021-03-19T18:31:26,Toscana,347046,151835,498881,618060,80.72,932.24,407.86,1660.23,2021-03-19T21:06:01
2021-03-19T18:31:26,Umbria,75827,29598,105425,135435,77.84,861.39,336.23,1538.54,2021-03-19T21:06:01
2021-03-19T18:31:26,Valle d'Aosta,11265,6629,17894,20450,87.5,897.6,528.2,1629.47,2021-03-19T21:06:01
2021-03-19T18:31:26,Veneto,402688,192420,595108,785010,75.81,820.52,392.08,1599.55,2021-03-19T21:06:01
2021-03-19T18:31:26,Italia,5122701,2362129,7484830,9577500,78.15,850.48,392.17,1590.08,2021-03-19T21:06:01
