data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-04-06T14:16:44,Abruzzo,175499,75975,251474,316730,79.4,1344.03,581.84,2425.62,2021-04-06T16:56:01
2021-04-06T14:16:44,Basilicata,68972,36031,105003,131785,79.68,1238.42,646.95,2366.26,2021-04-06T16:56:01
2021-04-06T14:16:44,Calabria,196807,101694,298501,412450,72.37,1022.53,528.36,2142.93,2021-04-06T16:56:01
2021-04-06T14:16:44,Campania,677139,263383,940522,1177215,79.89,1170.33,455.22,2034.64,2021-04-06T16:56:01
2021-04-06T14:16:44,Emilia-Romagna,641288,307640,948928,1160360,81.78,1435.57,688.68,2597.56,2021-04-06T16:56:01
2021-04-06T14:16:44,Friuli-Venezia Giulia,170414,82961,253375,310555,81.59,1406.8,684.86,2563.7,2021-04-06T16:56:01
2021-04-06T14:16:44,Lazio,835418,335621,1171039,1468350,79.75,1424.28,572.19,2503.35,2021-04-06T16:56:01
2021-04-06T14:16:44,Liguria,218901,107304,326205,437060,74.64,1418.55,695.37,2832.3,2021-04-06T16:56:01
2021-04-06T14:16:44,Lombardia,1215321,575144,1790465,2275180,78.7,1202.82,569.23,2251.77,2021-04-06T16:56:01
2021-04-06T14:16:44,Marche,197754,105743,303497,380410,79.78,1302.38,696.41,2505.33,2021-04-06T16:56:01
2021-04-06T14:16:44,Molise,48986,22488,71474,83425,85.67,1620.63,743.98,2760.0,2021-04-06T16:56:01
2021-04-06T14:16:44,P.A. Bolzano,73848,39936,113784,132075,86.15,1417.72,766.69,2535.56,2021-04-06T16:56:01
2021-04-06T14:16:44,P.A. Trento,69489,34529,104018,125750,82.72,1281.58,636.81,2319.2,2021-04-06T16:56:01
2021-04-06T14:16:44,Piemonte,575055,326347,901402,1113680,80.94,1324.59,751.71,2565.27,2021-04-06T16:56:01
2021-04-06T14:16:44,Puglia,453062,211536,664598,889115,74.75,1130.31,527.75,2218.19,2021-04-06T16:56:01
2021-04-06T14:16:44,Sardegna,194005,72292,266297,361870,73.59,1189.87,443.38,2219.42,2021-04-06T16:56:01
2021-04-06T14:16:44,Sicilia,603414,256664,860078,1080385,79.61,1214.5,516.59,2174.51,2021-04-06T16:56:01
2021-04-06T14:16:44,Toscana,552207,218445,770652,896350,85.98,1483.34,586.79,2407.78,2021-04-06T16:56:01
2021-04-06T14:16:44,Umbria,116111,46233,162344,203755,79.68,1319.02,525.2,2314.65,2021-04-06T16:56:01
2021-04-06T14:16:44,Valle d'Aosta,18972,7736,26708,30130,88.64,1511.7,616.41,2400.78,2021-04-06T16:56:01
2021-04-06T14:16:44,Veneto,731680,282136,1013816,1149850,88.17,1490.88,574.88,2342.95,2021-04-06T16:56:01
2021-04-06T14:16:44,Italia,7834342,3509838,11344180,14136480,80.25,1300.67,582.71,2346.97,2021-04-06T16:56:01
