data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-04-11T18:01:05,Abruzzo,204067,88124,292191,355340,82.23,1562.81,674.88,2721.31,2021-04-12T05:14:02
2021-04-11T18:01:05,Basilicata,74555,36336,110891,146995,75.44,1338.67,652.43,2639.36,2021-04-12T05:14:02
2021-04-11T18:01:05,Calabria,220798,118311,339109,461590,73.47,1147.18,614.7,2398.24,2021-04-12T05:14:02
2021-04-11T18:01:05,Campania,798638,289753,1088391,1280755,84.98,1380.33,500.79,2213.59,2021-04-12T05:14:02
2021-04-11T18:01:05,Emilia-Romagna,771020,342254,1113274,1289060,86.36,1725.99,766.16,2885.66,2021-04-12T05:14:02
2021-04-11T18:01:05,Friuli-Venezia Giulia,194652,89574,284226,345655,82.23,1606.89,739.45,2853.45,2021-04-12T05:14:02
2021-04-11T18:01:05,Lazio,925888,374130,1300018,1529800,84.98,1578.52,637.84,2608.11,2021-04-12T05:14:02
2021-04-11T18:01:05,Liguria,268823,116360,385183,483380,79.69,1742.07,754.05,3132.47,2021-04-12T05:14:02
2021-04-11T18:01:05,Lombardia,1395005,653424,2048429,2529240,80.99,1380.65,646.7,2503.21,2021-04-12T05:14:02
2021-04-11T18:01:05,Marche,242941,107560,350501,426040,82.27,1599.98,708.38,2805.85,2021-04-12T05:14:02
2021-04-11T18:01:05,Molise,58054,23508,81562,93955,86.81,1920.63,777.73,3108.37,2021-04-12T05:14:02
2021-04-11T18:01:05,P.A. Bolzano,88140,42522,130662,152045,85.94,1692.1,816.33,2918.94,2021-04-12T05:14:02
2021-04-11T18:01:05,P.A. Trento,78578,38871,117449,138620,84.73,1449.21,716.89,2556.56,2021-04-12T05:14:02
2021-04-11T18:01:05,Piemonte,681277,349968,1031245,1240040,83.16,1569.27,806.12,2856.33,2021-04-12T05:14:02
2021-04-11T18:01:05,Puglia,521566,239064,760630,970745,78.36,1301.22,596.42,2421.84,2021-04-12T05:14:02
2021-04-11T18:01:05,Sardegna,231497,89771,321268,402820,79.75,1419.81,550.58,2470.57,2021-04-12T05:14:02
2021-04-11T18:01:05,Sicilia,658622,299338,957960,1193875,80.24,1325.62,602.48,2402.93,2021-04-12T05:14:02
2021-04-11T18:01:05,Toscana,648348,239228,887576,1005700,88.25,1741.59,642.61,2701.51,2021-04-12T05:14:02
2021-04-11T18:01:05,Umbria,140301,52324,192625,231835,83.09,1593.81,594.4,2633.64,2021-04-12T05:14:02
2021-04-11T18:01:05,Valle d'Aosta,21475,8189,29664,32470,91.36,1711.14,652.5,2587.23,2021-04-12T05:14:02
2021-04-11T18:01:05,Veneto,851008,323161,1174169,1265870,92.76,1734.02,658.48,2579.35,2021-04-12T05:14:02
2021-04-11T18:01:05,Italia,9075253,3921770,12997023,15575830,83.44,1506.69,651.1,2585.93,2021-04-12T05:14:02
