data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-03-09T05:01:18,Abruzzo,90977,28470,119447,147500,80.98,696.73,218.03,1129.6,2021-03-09T06:12:02
2021-03-09T05:01:18,Basilicata,38670,14936,53606,69295,77.36,694.34,268.18,1244.22,2021-03-09T06:12:02
2021-03-09T05:01:18,Calabria,97856,42492,140348,213470,65.75,508.42,220.77,1109.11,2021-03-09T06:12:02
2021-03-09T05:01:18,Campania,348603,155873,504476,581315,86.78,602.51,269.4,1004.72,2021-03-09T06:12:02
2021-03-09T05:01:18,Emilia-Romagna,332600,156572,489172,615510,79.47,744.55,350.5,1377.87,2021-03-09T06:12:02
2021-03-09T05:01:18,Friuli-Venezia Giulia,96147,42233,138380,170415,81.2,793.71,348.64,1406.81,2021-03-09T06:12:02
2021-03-09T05:01:18,Lazio,400963,158942,559905,692660,80.83,683.59,270.98,1180.9,2021-03-09T06:12:02
2021-03-09T05:01:18,Liguria,103270,45024,148294,226180,65.56,669.23,291.77,1465.73,2021-03-09T06:12:02
2021-03-09T05:01:18,Lombardia,567799,284708,852507,1187610,71.78,561.96,281.78,1175.39,2021-03-09T06:12:02
2021-03-09T05:01:18,Marche,108080,37572,145652,176810,82.38,711.8,247.44,1164.45,2021-03-09T06:12:02
2021-03-09T05:01:18,Molise,21951,8633,30584,38915,78.59,726.22,285.61,1287.45,2021-03-09T06:12:02
2021-03-09T05:01:18,P.A. Bolzano,42784,23152,65936,77765,84.79,821.36,444.47,1492.92,2021-03-09T06:12:02
2021-03-09T05:01:18,P.A. Trento,34299,18038,52337,67700,77.31,632.57,332.67,1248.58,2021-03-09T06:12:02
2021-03-09T05:01:18,Piemonte,323855,151554,475409,586870,81.01,745.97,349.09,1351.81,2021-03-09T06:12:02
2021-03-09T05:01:18,Puglia,277068,88400,365468,428005,85.39,691.24,220.54,1067.8,2021-03-09T06:12:02
2021-03-09T05:01:18,Sardegna,73522,37344,110866,182930,60.61,450.92,229.04,1121.94,2021-03-09T06:12:02
2021-03-09T05:01:18,Sicilia,312923,132331,445254,575365,77.39,629.83,266.34,1158.05,2021-03-09T06:12:02
2021-03-09T05:01:18,Toscana,272113,110818,382931,458840,83.46,730.95,297.68,1232.54,2021-03-09T06:12:02
2021-03-09T05:01:18,Umbria,50783,18353,69136,98735,70.02,576.89,208.49,1121.63,2021-03-09T06:12:02
2021-03-09T05:01:18,Valle d'Aosta,9010,5300,14310,16310,87.74,717.92,422.31,1299.59,2021-03-09T06:12:02
2021-03-09T05:01:18,Veneto,287094,136480,423574,595790,71.09,584.99,278.09,1213.99,2021-03-09T06:12:02
2021-03-09T05:01:18,Italia,3890367,1697225,5587592,7207990,77.52,645.89,281.78,1196.69,2021-03-09T06:12:02
