data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-04-27T19:11:04,Abruzzo,290485,114773,405258,457220,88.64,2224.63,878.97,3501.54,2021-04-28T03:24:01
2021-04-27T19:11:04,Basilicata,116736,52022,168758,195365,86.38,2096.05,934.08,3507.87,2021-04-28T03:24:01
2021-04-27T19:11:04,Calabria,347407,150677,498084,600070,83.0,1804.99,782.86,3117.73,2021-04-28T03:24:01
2021-04-27T19:11:04,Campania,1152105,433669,1585774,1729915,91.67,1991.24,749.53,2989.9,2021-04-28T03:24:01
2021-04-27T19:11:04,Emilia-Romagna,1036169,482865,1519034,1629950,93.2,2319.55,1080.93,3648.77,2021-04-28T03:24:01
2021-04-27T19:11:04,Friuli-Venezia Giulia,269368,125034,394402,441425,89.35,2223.69,1032.18,3644.05,2021-04-28T03:24:01
2021-04-27T19:11:04,Lazio,1262588,549244,1811832,1994120,90.86,2152.55,936.39,3399.72,2021-04-28T03:24:01
2021-04-27T19:11:04,Liguria,393537,163648,557185,598490,93.1,2550.26,1060.5,3878.42,2021-04-28T03:24:01
2021-04-27T19:11:04,Lombardia,2150001,867861,3017862,3315190,91.03,2127.88,858.93,3281.08,2021-04-28T03:24:01
2021-04-27T19:11:04,Marche,379707,132550,512257,541310,94.63,2500.7,872.96,3565.0,2021-04-28T03:24:01
2021-04-27T19:11:04,Molise,73051,35273,108324,117735,92.01,2416.79,1166.96,3895.09,2021-04-28T03:24:01
2021-04-27T19:11:04,P.A. Bolzano,131280,50017,181297,201075,90.16,2520.3,960.22,3860.21,2021-04-28T03:24:01
2021-04-27T19:11:04,P.A. Trento,122231,41625,163856,182640,89.72,2254.29,767.69,3368.41,2021-04-28T03:24:01
2021-04-27T19:11:04,Piemonte,1016694,424372,1441066,1568800,91.86,2341.87,977.51,3613.6,2021-04-28T03:24:01
2021-04-27T19:11:04,Puglia,902355,293805,1196160,1271185,94.1,2251.22,732.99,3171.39,2021-04-28T03:24:01
2021-04-27T19:11:04,Sardegna,334576,140730,475306,536750,88.55,2052.02,863.12,3291.99,2021-04-28T03:24:01
2021-04-27T19:11:04,Sicilia,914825,414065,1328890,1563045,85.02,1841.28,833.4,3145.97,2021-04-28T03:24:01
2021-04-27T19:11:04,Toscana,833558,334485,1168043,1316000,88.76,2239.1,898.49,3535.04,2021-04-28T03:24:01
2021-04-27T19:11:04,Umbria,203763,81564,285327,301555,94.62,2314.74,926.56,3425.65,2021-04-28T03:24:01
2021-04-27T19:11:04,Valle d'Aosta,30707,10916,41623,46050,90.39,2446.75,869.79,3669.29,2021-04-28T03:24:01
2021-04-27T19:11:04,Veneto,1054339,477667,1532006,1655130,92.56,2148.33,973.3,3372.51,2021-04-28T03:24:01
2021-04-27T19:11:04,Italia,13015482,5376862,18392344,20263020,90.77,2160.86,892.68,3364.11,2021-04-28T03:24:01
