data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-04-03T17:31:09,Abruzzo,169882,74190,244072,286930,85.06,1301.01,568.17,2197.4,2021-04-04T04:40:02
2021-04-03T17:31:09,Basilicata,67923,35158,103081,120085,85.84,1219.59,631.28,2156.18,2021-04-04T04:40:02
2021-04-03T17:31:09,Calabria,191092,98991,290083,371950,77.99,992.84,514.32,1932.51,2021-04-04T04:40:02
2021-04-03T17:31:09,Campania,651263,257151,908414,1050415,86.48,1125.61,444.45,1815.49,2021-04-04T04:40:02
2021-04-03T17:31:09,Emilia-Romagna,619256,302352,921608,1067660,86.32,1386.25,676.84,2390.04,2021-04-04T04:40:02
2021-04-03T17:31:09,Friuli-Venezia Giulia,164866,81955,246821,285255,86.53,1361.0,676.56,2354.84,2021-04-04T04:40:02
2021-04-03T17:31:09,Lazio,798921,319643,1118564,1303650,85.8,1362.06,544.95,2222.56,2021-04-04T04:40:02
2021-04-03T17:31:09,Liguria,215894,106083,321977,397560,80.99,1399.07,687.45,2576.33,2021-04-04T04:40:02
2021-04-03T17:31:09,Lombardia,1179831,554744,1734575,2061680,84.13,1167.69,549.04,2040.47,2021-04-04T04:40:02
2021-04-03T17:31:09,Marche,185534,102758,288292,348210,82.79,1221.9,676.75,2293.27,2021-04-04T04:40:02
2021-04-03T17:31:09,Molise,47709,22244,69953,76925,90.94,1578.38,735.91,2544.95,2021-04-04T04:40:02
2021-04-03T17:31:09,P.A. Bolzano,73047,39423,112470,121475,92.59,1402.35,756.84,2332.06,2021-04-04T04:40:02
2021-04-03T17:31:09,P.A. Trento,68383,34072,102455,114350,89.6,1261.18,628.39,2108.95,2021-04-04T04:40:02
2021-04-03T17:31:09,Piemonte,548828,317860,866688,1023180,84.71,1264.18,732.16,2356.81,2021-04-04T04:40:02
2021-04-03T17:31:09,Puglia,433372,208269,641641,791915,81.02,1081.19,519.59,1975.69,2021-04-04T04:40:02
2021-04-03T17:31:09,Sardegna,189602,71077,260679,324370,80.36,1162.86,435.93,1989.42,2021-04-04T04:40:02
2021-04-03T17:31:09,Sicilia,583839,251929,835768,975385,85.69,1175.1,507.06,1963.17,2021-04-04T04:40:02
2021-04-03T17:31:09,Toscana,513890,215116,729006,819050,89.01,1380.41,577.84,2200.13,2021-04-04T04:40:02
2021-04-03T17:31:09,Umbria,111982,43364,155346,184055,84.4,1272.11,492.61,2090.86,2021-04-04T04:40:02
2021-04-03T17:31:09,Valle d'Aosta,17544,7657,25201,27430,91.87,1397.92,610.11,2185.64,2021-04-04T04:40:02
2021-04-03T17:31:09,Veneto,699499,273317,972816,1038550,93.67,1425.31,556.91,2116.16,2021-04-04T04:40:02
2021-04-03T17:31:09,Italia,7532157,3417353,10949510,12790080,85.61,1250.5,567.36,2123.44,2021-04-04T04:40:02
