data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-04-20T08:24:43,Abruzzo,243003,101040,344043,401470,85.7,1860.99,773.8,3074.58,2021-04-20T15:46:01
2021-04-20T08:24:43,Basilicata,91572,44368,135940,167405,81.2,1644.22,796.65,3005.83,2021-04-20T15:46:01
2021-04-20T08:24:43,Calabria,274150,132037,406187,528530,76.85,1424.38,686.01,2746.04,2021-04-20T15:46:01
2021-04-20T08:24:43,Campania,973698,359418,1333116,1488725,89.55,1682.89,621.2,2573.04,2021-04-20T15:46:01
2021-04-20T08:24:43,Emilia-Romagna,911966,394253,1306219,1447680,90.23,2041.51,882.57,3240.75,2021-04-20T15:46:01
2021-04-20T08:24:43,Friuli-Venezia Giulia,238199,102204,340403,388545,87.61,1966.38,843.71,3207.52,2021-04-20T15:46:01
2021-04-20T08:24:43,Lazio,1080139,453130,1533269,1741810,88.03,1841.5,772.53,2969.56,2021-04-20T15:46:01
2021-04-20T08:24:43,Liguria,336876,130893,467769,537460,87.03,2183.07,848.23,3482.93,2021-04-20T15:46:01
2021-04-20T08:24:43,Lombardia,1701549,750637,2452186,2890830,84.83,1684.04,742.91,2861.08,2021-04-20T15:46:01
2021-04-20T08:24:43,Marche,318665,113396,432061,478850,90.23,2098.69,746.81,3153.65,2021-04-20T15:46:01
2021-04-20T08:24:43,Molise,65819,28918,94737,104945,90.27,2177.53,956.71,3471.95,2021-04-20T15:46:01
2021-04-20T08:24:43,P.A. Bolzano,112388,44782,157170,178885,87.86,2157.61,859.72,3434.21,2021-04-20T15:46:01
2021-04-20T08:24:43,P.A. Trento,99621,41056,140677,158830,88.57,1837.3,757.19,2929.29,2021-04-20T15:46:01
2021-04-20T08:24:43,Piemonte,863189,381839,1245028,1390420,89.54,1988.28,879.53,3202.72,2021-04-20T15:46:01
2021-04-20T08:24:43,Puglia,748760,263879,1012639,1098575,92.18,1868.03,658.33,2740.75,2021-04-20T15:46:01
2021-04-20T08:24:43,Sardegna,283507,114839,398346,461910,86.24,1738.8,704.33,2832.98,2021-04-20T15:46:01
2021-04-20T08:24:43,Sicilia,776616,360334,1136950,1366835,83.18,1563.11,725.25,2751.05,2021-04-20T15:46:01
2021-04-20T08:24:43,Toscana,747923,267095,1015018,1156330,87.78,2009.07,717.47,3106.14,2021-04-20T15:46:01
2021-04-20T08:24:43,Umbria,176849,64938,241787,265675,91.01,2009.0,737.69,3018.06,2021-04-20T15:46:01
2021-04-20T08:24:43,Valle d'Aosta,26063,8970,35033,39420,88.87,2076.72,714.74,3141.01,2021-04-20T15:46:01
2021-04-20T08:24:43,Veneto,931995,398202,1330197,1444940,92.06,1899.04,811.38,2944.23,2021-04-20T15:46:01
2021-04-20T08:24:43,Italia,11002547,4556228,15558775,17738070,87.71,1826.67,756.43,2944.91,2021-04-20T15:46:01
