data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-04-12T22:14:53,Abruzzo,208396,89007,297403,355340,83.7,1595.96,681.64,2721.31,2021-04-13T04:36:01
2021-04-12T22:14:53,Basilicata,76066,36835,112901,146995,76.81,1365.8,661.39,2639.36,2021-04-13T04:36:01
2021-04-12T22:14:53,Calabria,224208,119623,343831,461590,74.49,1164.9,621.51,2398.24,2021-04-13T04:36:01
2021-04-12T22:14:53,Campania,816537,292457,1108994,1280755,86.59,1411.26,505.47,2213.59,2021-04-13T04:36:01
2021-04-12T22:14:53,Emilia-Romagna,782972,345575,1128547,1289060,87.55,1752.75,773.6,2885.66,2021-04-13T04:36:01
2021-04-12T22:14:53,Friuli-Venezia Giulia,198773,90687,289460,345655,83.74,1640.91,748.64,2853.45,2021-04-13T04:36:01
2021-04-12T22:14:53,Lazio,941517,380785,1322302,1529800,86.44,1605.17,649.19,2608.11,2021-04-13T04:36:01
2021-04-12T22:14:53,Liguria,276697,117623,394320,483380,81.58,1793.09,762.24,3132.47,2021-04-13T04:36:01
2021-04-12T22:14:53,Lombardia,1407779,666694,2074473,2529240,82.02,1393.29,659.83,2503.21,2021-04-13T04:36:01
2021-04-12T22:14:53,Marche,250240,107984,358224,426040,84.08,1648.05,711.17,2805.85,2021-04-13T04:36:01
2021-04-12T22:14:53,Molise,59029,23699,82728,93955,88.05,1952.89,784.05,3108.37,2021-04-13T04:36:01
2021-04-12T22:14:53,P.A. Bolzano,90882,42534,133416,152045,87.75,1744.74,816.56,2918.94,2021-04-13T04:36:01
2021-04-12T22:14:53,P.A. Trento,81204,39235,120439,138620,86.88,1497.64,723.61,2556.56,2021-04-13T04:36:01
2021-04-12T22:14:53,Piemonte,700786,352720,1053506,1240040,84.96,1614.2,812.46,2856.33,2021-04-13T04:36:01
2021-04-12T22:14:53,Puglia,540449,240769,781218,970745,80.48,1348.33,600.68,2421.84,2021-04-13T04:36:01
2021-04-12T22:14:53,Sardegna,237062,91314,328376,402820,81.52,1453.95,560.05,2470.57,2021-04-13T04:36:01
2021-04-12T22:14:53,Sicilia,669284,306436,975720,1193875,81.73,1347.08,616.77,2402.93,2021-04-13T04:36:01
2021-04-12T22:14:53,Toscana,651889,239941,891830,1005700,88.68,1751.11,644.53,2701.51,2021-04-13T04:36:01
2021-04-12T22:14:53,Umbria,144664,53464,198128,231835,85.46,1643.38,607.35,2633.64,2021-04-13T04:36:01
2021-04-12T22:14:53,Valle d'Aosta,21877,8328,30205,32470,93.02,1743.17,663.58,2587.23,2021-04-13T04:36:01
2021-04-12T22:14:53,Veneto,860077,330738,1190815,1265870,94.07,1752.5,673.92,2579.35,2021-04-13T04:36:01
2021-04-12T22:14:53,Italia,9240388,3976448,13216836,15575830,84.85,1534.11,660.18,2585.93,2021-04-13T04:36:01
