data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-05-22T04:14:25,Abruzzo,453493,221346,674839,740270,91.16,3472.99,1695.14,5669.22,2021-05-22T15:54:01
2021-05-22T04:14:25,Basilicata,200241,92654,292895,314525,93.12,3595.42,1663.64,5647.44,2021-05-22T15:54:01
2021-05-22T04:14:25,Calabria,611692,269891,881583,985150,89.49,3178.11,1402.25,5118.46,2021-05-22T15:54:01
2021-05-22T04:14:25,Campania,1990801,792868,2783669,2961135,94.01,3440.8,1370.35,5117.88,2021-05-22T15:54:01
2021-05-22T04:14:25,Emilia-Romagna,1532243,757763,2290006,2473450,92.58,3430.05,1696.31,5537.02,2021-05-22T15:54:01
2021-05-22T04:14:25,Friuli-Venezia Giulia,430133,192477,622610,686905,90.64,3550.84,1588.94,5670.54,2021-05-22T15:54:01
2021-05-22T04:14:25,Lazio,2001002,885254,2886256,3225370,89.49,3411.45,1509.24,5498.84,2021-05-22T15:54:01
2021-05-22T04:14:25,Liguria,549526,296924,846450,892570,94.83,3561.12,1924.17,5784.16,2021-05-22T15:54:01
2021-05-22T04:14:25,Lombardia,3575917,1617035,5192952,5443900,95.39,3539.12,1600.4,5387.88,2021-05-22T15:54:01
2021-05-22T04:14:25,Marche,519428,269594,789022,828110,95.28,3420.89,1775.51,5453.83,2021-05-22T15:54:01
2021-05-22T04:14:25,Molise,116524,51202,167726,176955,94.78,3855.03,1693.94,5854.3,2021-05-22T15:54:01
2021-05-22T04:14:25,P.A. Bolzano,193399,78724,272123,308545,88.2,3712.85,1511.33,5923.41,2021-05-22T15:54:01
2021-05-22T04:14:25,P.A. Trento,205433,56375,261808,284620,91.99,3788.78,1039.72,5249.22,2021-05-22T15:54:01
2021-05-22T04:14:25,Piemonte,1462286,753066,2215352,2403860,92.16,3368.26,1734.63,5537.09,2021-05-22T15:54:01
2021-05-22T04:14:25,Puglia,1405959,628245,2034204,2142405,94.95,3507.62,1567.36,5344.93,2021-05-22T15:54:01
2021-05-22T04:14:25,Sardegna,542386,217733,760119,898170,84.63,3326.55,1335.4,5508.64,2021-05-22T15:54:01
2021-05-22T04:14:25,Sicilia,1463815,700652,2164467,2394752,90.38,2946.24,1410.21,4819.96,2021-05-22T15:54:01
2021-05-22T04:14:25,Toscana,1210445,626565,1837010,1990860,92.27,3251.5,1683.08,5347.85,2021-05-22T15:54:01
2021-05-22T04:14:25,Umbria,301874,147106,448980,481315,93.28,3429.28,1671.12,5467.72,2021-05-22T15:54:01
2021-05-22T04:14:25,Valle d'Aosta,42633,21333,63966,71540,89.41,3397.02,1699.83,5700.35,2021-05-22T15:54:01
2021-05-22T04:14:25,Veneto,1736053,747764,2483817,2609510,95.18,3537.4,1523.65,5317.17,2021-05-22T15:54:01
2021-05-22T04:14:25,Italia,20545283,9424571,29969854,32313917,92.75,3410.97,1564.69,5364.83,2021-05-22T15:54:01
