data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-02-02T07:01:45,Abruzzo,19656,11524,31180,38680,80.61,150.53,88.25,296.22,2021-02-02T12:18:01
2021-02-02T07:01:45,Basilicata,11230,5660,16890,20775,81.3,201.64,101.63,373.02,2021-02-02T12:18:01
2021-02-02T07:01:45,Calabria,32868,12314,45182,62680,72.08,170.77,63.98,325.66,2021-02-02T12:18:01
2021-02-02T07:01:45,Campania,108910,71657,180567,179545,100.57,188.23,123.85,310.32,2021-02-02T12:18:01
2021-02-02T07:01:45,Emilia-Romagna,131270,73726,204996,220925,92.79,293.86,165.04,494.56,2021-02-02T12:18:01
2021-02-02T07:01:45,Friuli-Venezia Giulia,35620,17296,52916,60715,87.15,294.05,142.78,501.21,2021-02-02T12:18:01
2021-02-02T07:01:45,Lazio,121988,69675,191663,230170,83.27,207.97,118.79,392.41,2021-02-02T12:18:01
2021-02-02T07:01:45,Liguria,37008,17309,54317,77540,70.05,239.82,112.17,502.49,2021-02-02T12:18:01
2021-02-02T07:01:45,Lombardia,232090,68136,300226,379530,79.1,229.7,67.43,375.62,2021-02-02T12:18:01
2021-02-02T07:01:45,Marche,28728,15729,44457,45380,97.97,189.2,103.59,298.87,2021-02-02T12:18:01
2021-02-02T07:01:45,Molise,6764,3734,10498,13505,77.73,223.78,123.53,446.79,2021-02-02T12:18:01
2021-02-02T07:01:45,P.A. Bolzano,22637,6129,28766,32515,88.47,434.58,117.66,624.22,2021-02-02T12:18:01
2021-02-02T07:01:45,P.A. Trento,13683,5895,19578,25060,78.12,252.35,108.72,462.18,2021-02-02T12:18:01
2021-02-02T07:01:45,Piemonte,136361,54709,191070,200980,95.07,314.1,126.02,462.94,2021-02-02T12:18:01
2021-02-02T07:01:45,Puglia,74290,37156,111446,120235,92.69,185.34,92.7,299.97,2021-02-02T12:18:01
2021-02-02T07:01:45,Sardegna,26711,16219,42930,53220,80.67,163.82,99.47,326.41,2021-02-02T12:18:01
2021-02-02T07:01:45,Sicilia,96207,67944,164151,201115,81.62,193.64,136.75,404.79,2021-02-02T12:18:01
2021-02-02T07:01:45,Toscana,77790,49012,126802,133840,94.74,208.96,131.66,359.52,2021-02-02T12:18:01
2021-02-02T07:01:45,Umbria,15006,9048,24054,24875,96.7,170.47,102.78,282.58,2021-02-02T12:18:01
2021-02-02T07:01:45,Valle d'Aosta,4165,1912,6077,6460,94.07,331.87,152.35,514.74,2021-02-02T12:18:01
2021-02-02T07:01:45,Veneto,113471,68694,182165,197240,92.36,231.21,139.97,401.9,2021-02-02T12:18:01
2021-02-02T07:01:45,Italia,1346453,683478,2029931,2324985,87.31,223.54,113.47,386.0,2021-02-02T12:18:01
