data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-05-02T15:11:18,Abruzzo,321489,131535,453024,552720,81.96,2462.06,1007.34,4232.9,2021-05-02T17:18:01
2021-05-02T15:11:18,Basilicata,135185,54913,190098,235855,80.6,2427.31,985.99,4234.88,2021-05-02T17:18:01
2021-05-02T15:11:18,Calabria,391407,165465,556872,742430,75.01,2033.6,859.69,3857.38,2021-05-02T17:18:01
2021-05-02T15:11:18,Campania,1267812,493274,1761086,2163765,81.39,2191.22,852.55,3739.75,2021-05-02T17:18:01
2021-05-02T15:11:18,Emilia-Romagna,1126369,544991,1671360,1953670,85.55,2521.47,1220.01,4373.45,2021-05-02T17:18:01
2021-05-02T15:11:18,Friuli-Venezia Giulia,289316,136737,426053,529515,80.46,2388.36,1128.79,4371.25,2021-05-02T17:18:01
2021-05-02T15:11:18,Lazio,1351008,602816,1953824,2441980,80.01,2303.3,1027.72,4163.26,2021-05-02T17:18:01
2021-05-02T15:11:18,Liguria,425918,197285,623203,706880,88.16,2760.1,1278.48,4580.83,2021-05-02T17:18:01
2021-05-02T15:11:18,Lombardia,2486818,983390,3470208,4067550,85.31,2461.23,973.27,4025.7,2021-05-02T17:18:01
2021-05-02T15:11:18,Marche,403792,158918,562710,651330,86.39,2659.33,1046.61,4289.58,2021-05-02T17:18:01
2021-05-02T15:11:18,Molise,75805,42396,118201,139365,84.81,2507.9,1402.61,4610.69,2021-05-02T17:18:01
2021-05-02T15:11:18,P.A. Bolzano,136324,51672,187996,238995,78.66,2617.13,991.99,4588.2,2021-05-02T17:18:01
2021-05-02T15:11:18,P.A. Trento,139925,42144,182069,221260,82.29,2580.62,777.26,4080.68,2021-05-02T17:18:01
2021-05-02T15:11:18,Piemonte,1104609,472103,1576712,1886010,83.6,2544.38,1087.45,4344.27,2021-05-02T17:18:01
2021-05-02T15:11:18,Puglia,985603,326823,1312426,1577235,83.21,2458.91,815.37,3934.93,2021-05-02T17:18:01
2021-05-02T15:11:18,Sardegna,359641,156192,515833,654090,78.86,2205.75,957.95,4011.66,2021-05-02T17:18:01
2021-05-02T15:11:18,Sicilia,1006939,451217,1458156,1923625,75.8,2026.68,908.17,3871.71,2021-05-02T17:18:01
2021-05-02T15:11:18,Toscana,892180,396868,1289048,1569200,82.15,2396.58,1066.07,4215.19,2021-05-02T17:18:01
2021-05-02T15:11:18,Umbria,218120,93337,311457,363975,85.57,2477.83,1060.3,4134.74,2021-05-02T17:18:01
2021-05-02T15:11:18,Valle d'Aosta,33394,12835,46229,54730,84.47,2660.86,1022.7,4360.92,2021-05-02T17:18:01
2021-05-02T15:11:18,Veneto,1184032,525316,1709348,2015080,84.83,2412.6,1070.39,4105.95,2021-05-02T17:18:01
2021-05-02T15:11:18,Italia,14335686,6040227,20375913,24689260,82.53,2380.04,1002.81,4098.96,2021-05-02T17:18:01
