data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-05-04T16:54:30,Abruzzo,335726,141689,477415,552720,86.38,2571.1,1085.1,4232.9,2021-05-04T19:02:02
2021-05-04T16:54:30,Basilicata,149006,57879,206885,239365,86.43,2675.47,1039.24,4297.91,2021-05-04T19:02:02
2021-05-04T16:54:30,Calabria,420219,175116,595335,742430,80.19,2183.29,909.83,3857.38,2021-05-04T19:02:02
2021-05-04T16:54:30,Campania,1337555,521902,1859457,2168445,85.75,2311.76,902.03,3747.83,2021-05-04T19:02:02
2021-05-04T16:54:30,Emilia-Romagna,1160726,572215,1732941,1953670,88.7,2598.38,1280.95,4373.45,2021-05-04T19:02:02
2021-05-04T16:54:30,Friuli-Venezia Giulia,297955,144663,442618,529515,83.59,2459.68,1194.22,4371.25,2021-05-04T19:02:02
2021-05-04T16:54:30,Lazio,1427164,636132,2063296,2441980,84.49,2433.13,1084.52,4163.26,2021-05-04T19:02:02
2021-05-04T16:54:30,Liguria,427440,201617,629057,709880,88.61,2769.96,1306.55,4600.27,2021-05-04T19:02:02
2021-05-04T16:54:30,Lombardia,2643085,1026551,3669636,4109140,89.3,2615.89,1015.99,4066.86,2021-05-04T19:02:02
2021-05-04T16:54:30,Marche,413736,172390,586126,651330,89.99,2724.82,1135.34,4289.58,2021-05-04T19:02:02
2021-05-04T16:54:30,Molise,78894,43687,122581,139365,87.96,2610.09,1445.32,4610.69,2021-05-04T19:02:02
2021-05-04T16:54:30,P.A. Bolzano,142295,55830,198125,243995,81.2,2731.76,1071.82,4684.19,2021-05-04T19:02:02
2021-05-04T16:54:30,P.A. Trento,148276,42377,190653,221260,86.17,2734.64,781.55,4080.68,2021-05-04T19:02:02
2021-05-04T16:54:30,Piemonte,1131352,497010,1628362,1896010,85.88,2605.98,1144.82,4367.3,2021-05-04T19:02:02
2021-05-04T16:54:30,Puglia,1029577,350599,1380176,1583085,87.18,2568.62,874.68,3949.52,2021-05-04T19:02:02
2021-05-04T16:54:30,Sardegna,388035,168632,556667,659940,84.35,2379.89,1034.25,4047.53,2021-05-04T19:02:02
2021-05-04T16:54:30,Sicilia,1045002,472475,1517477,1923625,78.89,2103.29,950.96,3871.71,2021-05-04T19:02:02
2021-05-04T16:54:30,Toscana,917546,406818,1324364,1569200,84.4,2464.71,1092.8,4215.19,2021-05-04T19:02:02
2021-05-04T16:54:30,Umbria,222237,100738,322975,369825,87.33,2524.6,1144.38,4201.2,2021-05-04T19:02:02
2021-05-04T16:54:30,Valle d'Aosta,34745,13683,48428,54730,88.49,2768.5,1090.27,4360.92,2021-05-04T19:02:02
2021-05-04T16:54:30,Veneto,1259798,545695,1805493,2020080,89.38,2566.98,1111.92,4116.14,2021-05-04T19:02:02
2021-05-04T16:54:30,Italia,15010369,6347698,21358067,24779590,86.19,2492.05,1053.86,4113.96,2021-05-04T19:02:02
