data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-03-13T05:01:09,Abruzzo,107924,33089,141013,147500,95.6,826.52,253.41,1129.6,2021-03-13T14:50:01
2021-03-13T05:01:09,Basilicata,42170,18346,60516,69295,87.33,757.18,329.41,1244.22,2021-03-13T14:50:01
2021-03-13T05:01:09,Calabria,117633,46960,164593,213470,77.1,611.18,243.99,1109.11,2021-03-13T14:50:01
2021-03-13T05:01:09,Campania,385146,179828,564974,581315,97.19,665.67,310.81,1004.72,2021-03-13T14:50:01
2021-03-13T05:01:09,Emilia-Romagna,380861,179355,560216,615510,91.02,852.59,401.5,1377.87,2021-03-13T14:50:01
2021-03-13T05:01:09,Friuli-Venezia Giulia,102876,49916,152792,170415,89.66,849.26,412.07,1406.81,2021-03-13T14:50:01
2021-03-13T05:01:09,Lazio,465863,182283,648146,692660,93.57,794.24,310.77,1180.9,2021-03-13T14:50:01
2021-03-13T05:01:09,Liguria,121369,53068,174437,226180,77.12,786.51,343.9,1465.73,2021-03-13T14:50:01
2021-03-13T05:01:09,Lombardia,670614,318172,988786,1187610,83.26,663.71,314.9,1175.39,2021-03-13T14:50:01
2021-03-13T05:01:09,Marche,125949,42207,168156,176810,95.11,829.48,277.97,1164.45,2021-03-13T14:50:01
2021-03-13T05:01:09,Molise,26613,8877,35490,38915,91.2,880.45,293.68,1287.45,2021-03-13T14:50:01
2021-03-13T05:01:09,P.A. Bolzano,52093,24143,76236,77765,98.03,1000.07,463.49,1492.92,2021-03-13T14:50:01
2021-03-13T05:01:09,P.A. Trento,40099,21292,61391,67700,90.68,739.54,392.69,1248.58,2021-03-13T14:50:01
2021-03-13T05:01:09,Piemonte,371791,163216,535007,586870,91.16,856.39,375.95,1351.81,2021-03-13T14:50:01
2021-03-13T05:01:09,Puglia,323889,100917,424806,428005,99.25,808.05,251.77,1067.8,2021-03-13T14:50:01
2021-03-13T05:01:09,Sardegna,91787,42133,133920,182930,73.21,562.95,258.41,1121.94,2021-03-13T14:50:01
2021-03-13T05:01:09,Sicilia,357882,141900,499782,575365,86.86,720.31,285.6,1158.05,2021-03-13T14:50:01
2021-03-13T05:01:09,Toscana,313347,127152,440499,458840,96.0,841.71,341.56,1232.54,2021-03-13T14:50:01
2021-03-13T05:01:09,Umbria,65384,22725,88109,98735,89.24,742.76,258.16,1121.63,2021-03-13T14:50:01
2021-03-13T05:01:09,Valle d'Aosta,10004,6138,16142,16310,98.97,797.13,489.08,1299.59,2021-03-13T14:50:01
2021-03-13T05:01:09,Veneto,334900,160355,495255,595790,83.13,682.4,326.74,1213.99,2021-03-13T14:50:01
2021-03-13T05:01:09,Italia,4508194,1922072,6430266,7207990,89.21,748.46,319.11,1196.69,2021-03-13T14:50:01
