data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-10T23:51:44,20-29,68224,0,68224,11.08,0,2021-01-10T23:58:02
2021-01-10T23:51:44,30-39,107662,0,107662,15.48,0,2021-01-10T23:58:02
2021-01-10T23:51:44,40-49,137406,0,137406,15.2,0,2021-01-10T23:58:02
2021-01-10T23:51:44,50-59,179999,0,179999,18.94,0,2021-01-10T23:58:02
2021-01-10T23:51:44,60-69,103215,0,103215,13.9,0,2021-01-10T23:58:02
2021-01-10T23:51:44,70-79,14649,0,14649,2.44,0,2021-01-10T23:58:02
2021-01-10T23:51:44,80-89,17555,0,17555,4.81,0,2021-01-10T23:58:02
2021-01-10T23:51:44,90+,13373,0,13373,16.83,0,2021-01-10T23:58:02
2021-01-10T23:51:44,16+,643219,0,643219,12.41,0,2021-01-10T23:58:02
2021-01-11T23:38:32,16-19,1436,0,1436,0.62,0,2021-01-11T23:58:01
2021-01-11T23:38:32,20-29,76905,0,76905,12.49,0,2021-01-11T23:58:01
2021-01-11T23:38:32,30-39,118299,0,118299,17.01,0,2021-01-11T23:58:01
2021-01-11T23:38:32,40-49,151920,0,151920,16.81,0,2021-01-11T23:58:01
2021-01-11T23:38:32,50-59,199277,0,199277,20.97,0,2021-01-11T23:58:01
2021-01-11T23:38:32,60-69,113250,0,113250,15.25,0,2021-01-11T23:58:01
2021-01-11T23:38:32,70-79,17237,0,17237,2.87,0,2021-01-11T23:58:01
2021-01-11T23:38:32,80-89,20541,0,20541,5.63,0,2021-01-11T23:58:01
2021-01-11T23:38:32,90+,15441,0,15441,19.43,0,2021-01-11T23:58:01
2021-01-11T23:38:32,16+,714306,0,714306,13.78,0,2021-01-11T23:58:01
2021-01-12T23:35:02,16-19,1674,0,1674,0.72,0,2021-01-12T23:58:01
2021-01-12T23:35:02,20-29,85624,0,85624,13.91,0,2021-01-12T23:58:01
2021-01-12T23:35:02,30-39,129565,0,129565,18.64,0,2021-01-12T23:58:01
2021-01-12T23:35:02,40-49,167018,0,167018,18.48,0,2021-01-12T23:58:01
2021-01-12T23:35:02,50-59,219581,0,219581,23.11,0,2021-01-12T23:58:01
2021-01-12T23:35:02,60-69,124851,0,124851,16.81,0,2021-01-12T23:58:01
2021-01-12T23:35:02,70-79,20255,0,20255,3.37,0,2021-01-12T23:58:01
2021-01-12T23:35:02,80-89,24616,0,24616,6.75,0,2021-01-12T23:58:01
2021-01-12T23:35:02,90+,18550,0,18550,23.35,0,2021-01-12T23:58:01
2021-01-12T23:35:02,16+,791734,0,791734,15.27,0,2021-01-12T23:58:01
2021-01-13T23:31:20,16-19,2024,0,2024,0.87,0,2021-01-13T23:58:02
2021-01-13T23:31:20,20-29,95352,0,95352,15.49,0,2021-01-13T23:58:02
2021-01-13T23:31:20,30-39,141743,0,141743,20.39,0,2021-01-13T23:58:02
2021-01-13T23:31:20,40-49,182665,0,182665,20.21,0,2021-01-13T23:58:02
2021-01-13T23:31:20,50-59,239232,0,239232,25.18,0,2021-01-13T23:58:02
2021-01-13T23:31:20,60-69,135438,0,135438,18.24,0,2021-01-13T23:58:02
2021-01-13T23:31:20,70-79,23538,0,23538,3.92,0,2021-01-13T23:58:02
2021-01-13T23:31:20,80-89,29175,0,29175,8.0,0,2021-01-13T23:58:02
2021-01-13T23:31:20,90+,21985,0,21985,27.67,0,2021-01-13T23:58:02
2021-01-13T23:31:20,16+,871152,0,871152,16.8,0,2021-01-13T23:58:02
2021-01-14T23:39:14,16-19,2461,0,2461,1.06,0,2021-01-14T23:58:01
2021-01-14T23:39:14,20-29,106811,0,106811,17.35,0,2021-01-14T23:58:01
2021-01-14T23:39:14,30-39,154858,0,154858,22.27,0,2021-01-14T23:58:01
2021-01-14T23:39:14,40-49,200200,0,200200,22.15,0,2021-01-14T23:58:01
